cuisine,yelp_avg_neg,yelp_avg_nue,yelp_avg_pos,rob_avg_neg,rob_avg_nue,rob_avg_pos
Chinese,0.2118386253749486,0.12648159315111115,0.6616797807626427,0.15759811450727285,0.10984515517950058,0.7325567268859595
French,0.1355743154967786,0.1519831357896328,0.7124425574298948,0.14847637793514878,0.07650467421859503,0.775018950868398
Cajun_Creole,0.20717432403587735,0.11596423110924661,0.6768614372215234,0.21205952417571097,0.08549901073798537,0.7024414638895542
Mexican,0.14881963712861762,0.13158448425121605,0.7195958735747263,0.13978337108157576,0.13735772080719472,0.7228589100390672
American(Traditional),0.23101148077606923,0.1254146335227415,0.6435738816275262,0.2074995923251845,0.14106051967479288,0.6514398872293532
Irish,0.26110390581103277,0.19647105222567915,0.5424250332103111,0.26598777816165237,0.10370806781575084,0.6303041503019631
Vietnamese,0.12868905677314615,0.1134964381158352,0.7578145042806864,0.13803491997532547,0.10597079198807478,0.7559942864999175
Spanish,0.12277821390453028,0.06819849038263782,0.8090232960437425,0.10705221558688209,0.07143745170906186,0.8215103247947991
Japanese,0.22240822275198296,0.1352240616432391,0.6423677229345777,0.19312287240754814,0.11738681343384087,0.6894903142470866
Korean,0.08396974075090839,0.09147048027953134,0.8245597755047492,0.06836573054781184,0.10730776571668685,0.8243264998495579
LatinAmerican,0.15470379707112442,0.06576551723759622,0.7795306841051206,0.12191196762491018,0.07685460556298494,0.8012334312591701
SoulFood,0.19332804001605836,0.1021475341776386,0.704524429817684,0.17446016618981958,0.11952513640746475,0.7060146977007389
Southern,0.07441672137618298,0.082613903763704,0.8429693731758744,0.06770959484856576,0.09242609062232077,0.8398643147852272
Indian,0.15432834387291222,0.09693824421847239,0.7487334036687389,0.1405795806320384,0.09888101508840919,0.76053940506652
Greek,0.1837119976177928,0.1003730616136454,0.7159149417700246,0.15233418789692224,0.09332983908243478,0.754335978301242
Cuban,0.12184098462952533,0.043831730685196815,0.834327285757754,0.11950414412189275,0.059716350380331275,0.8207795059215277
Mediterranean,0.05523867685027653,0.07799767721211538,0.8667636431474238,0.05418481481028721,0.09442344442009926,0.8513917349092662
American(New),0.1558720367317437,0.1291660846909508,0.7149618716631084,0.14757677568588407,0.10069247839972377,0.7517307503055781
Thai,0.09502433288027533,0.1525147875235416,0.7524608797114343,0.10641917271073907,0.12899561630561948,0.7645852109789848
Italian,0.24384308483306086,0.09154628078220411,0.6646106371399947,0.18942002796102314,0.13734063846990466,0.673239326858893
