cuisine,yelp_avg_neg,yelp_avg_nue,yelp_avg_pos,rob_avg_neg,rob_avg_nue,rob_avg_pos
Chinese,0.2126832633032609,0.12657417113368866,0.6607425639408175,0.2097232963697752,0.12039996093604714,0.6698767413613387
French,0.1275409880299994,0.11071309423132333,0.7617459155676188,0.12491175827744883,0.10551609320053831,0.769572148852516
Cajun_Creole,0.17948265147878556,0.1079544151123846,0.7125629338540602,0.15996040679945145,0.09835828849859536,0.7416813053614459
Mexican,0.16777218581300984,0.1017760694535682,0.7304517473265296,0.15157850221183616,0.09999098931858316,0.7484305075271986
American(Traditional),0.17665752872471058,0.14075596769456752,0.6825865025273524,0.1627724619571818,0.11037523159105331,0.7268523055929691
Irish,0.2051185193804413,0.14143793820869177,0.6534435425968841,0.18324993008957244,0.12432562710158526,0.6924244428207167
Vietnamese,0.1483034575622296,0.11215222726506181,0.7395443151352229,0.1493098033729475,0.09552902663312852,0.7551611715252511
Spanish,0.12380774734231818,0.12075102025724482,0.7554412307359744,0.11927563274372369,0.09577289290959015,0.7849514748360962
Japanese,0.1877129621606,0.11689238719618879,0.695394650125294,0.181377677151002,0.10462083602510393,0.7140014876965434
Korean,0.11958717579409131,0.12868701955873985,0.7517258075447754,0.12056978774664458,0.11524936236394569,0.7641808492182754
LatinAmerican,0.12847866184405576,0.08482632336963433,0.7866950131194899,0.12925696636235806,0.09293784695630893,0.7778051897129044
SoulFood,0.22947768682791503,0.11282811247475912,0.6576941994653316,0.20585169909719844,0.12032590583059936,0.6738223961023614
Southern,0.16653478460475163,0.10902588722098153,0.7244393266448751,0.15508549666125326,0.10927112247142941,0.7356433801655657
Indian,0.15335632224185974,0.10563470972701908,0.7410089684807463,0.1581988055872498,0.09834753598831594,0.7434536583879963
Greek,0.18097056066141523,0.09412164965970442,0.7249077894360526,0.16329766269132961,0.0964035336789675,0.7402988012563437
Cuban,0.13951482614867564,0.0931606384132756,0.7673245333571685,0.13580584802594967,0.0966008550026454,0.7675932966112159
Mediterranean,0.1253275924978225,0.08879860103700776,0.7858738070550607,0.12083237619977444,0.08318981779599563,0.7959778056298382
American(New),0.1782902872974082,0.11002275665092748,0.7116869579282357,0.16144834698457272,0.10503312276583165,0.7335185282393358
Thai,0.151849796853945,0.11073036693676841,0.7374198374098633,0.1471200165693881,0.09125703996280209,0.7616229423107579
Italian,0.20968072663886414,0.10385172927228269,0.6864675437947735,0.17518754713912493,0.11172272712085396,0.7130897259130142
